model,prompt,run_index,elapsed_sec,response_len_tokens,gpu_mem_pre_mib,gpu_mem_post_mib,gpu_before_model_mib,timestamp
EntropyYue/chatglm3:6b,帮我简要解释一下微服务的优点，用一句话说清楚。,4,0.17388606071472168,1,11024,11024,11024,1770962219.703812
EntropyYue/chatglm3:6b,我最近工作压力大，有没有三个快速缓解压力的建议？,0,0.9601399898529053,7,11024,11024,11024,1770962220.7545407
EntropyYue/chatglm3:6b,我最近工作压力大，有没有三个快速缓解压力的建议？,1,0.5252578258514404,7,11024,11024,11024,1770962221.3695934
EntropyYue/chatglm3:6b,我最近工作压力大，有没有三个快速缓解压力的建议？,2,0.7866742610931396,4,11024,11024,11024,1770962222.248504
EntropyYue/chatglm3:6b,我最近工作压力大，有没有三个快速缓解压力的建议？,3,0.9803216457366943,7,11024,11024,11024,1770962223.310312
EntropyYue/chatglm3:6b,我最近工作压力大，有没有三个快速缓解压力的建议？,4,0.6690487861633301,7,11024,11024,11024,1770962224.0694737
EntropyYue/chatglm3:6b,我下周要向老板提需求，应该怎么表达更有说服力？,0,1.2511818408966064,11,11024,11024,11024,1770962225.4104183
EntropyYue/chatglm3:6b,我下周要向老板提需求，应该怎么表达更有说服力？,1,1.8307349681854248,16,11024,11024,11024,1770962227.3216107
EntropyYue/chatglm3:6b,我下周要向老板提需求，应该怎么表达更有说服力？,2,1.709883451461792,12,11024,11024,11024,1770962229.1315284
EntropyYue/chatglm3:6b,我下周要向老板提需求，应该怎么表达更有说服力？,3,1.4833323955535889,14,11024,11024,11024,1770962230.703564
EntropyYue/chatglm3:6b,我下周要向老板提需求，应该怎么表达更有说服力？,4,1.456676959991455,15,11024,11024,11024,1770962232.2415044
EntropyYue/chatglm3:6b,你推荐的晚饭是什么？我想吃得简单又健康。,0,1.0238118171691895,21,11024,11024,11024,1770962233.3536565
EntropyYue/chatglm3:6b,你推荐的晚饭是什么？我想吃得简单又健康。,1,1.2430901527404785,17,11024,11024,11024,1770962234.6875415
EntropyYue/chatglm3:6b,你推荐的晚饭是什么？我想吃得简单又健康。,2,1.5231499671936035,12,11024,11024,11024,1770962236.3096466
EntropyYue/chatglm3:6b,你推荐的晚饭是什么？我想吃得简单又健康。,3,1.5104856491088867,21,11024,11024,11024,1770962237.902383
EntropyYue/chatglm3:6b,你推荐的晚饭是什么？我想吃得简单又健康。,4,0.9160401821136475,12,11024,11024,11024,1770962238.9058292
